Time,A,B,C
21243.819920549566,66,75,19
21344.71316684686,59,85,19
21444.81851140769,65,51,21
21545.425825738123,56,49,17
21645.937304563195,52,55,15
21746.388608476114,48,55,14
21846.478330926915,43,55,16
21946.210657959313,40,53,18
22046.594048411356,39,54,18
22146.80175151657,32,33,15
22247.388164776607,34,33,6
22347.37687360637,55,39,3
22447.942423679455,43,51,3
22547.947820132606,64,42,4
22647.320624242453,75,34,8
22747.691628808283,58,36,9
22848.162196675094,62,35,11
22948.2412206233,73,42,2
23049.988464978313,60,55,1
23150.032757896617,64,52,2
23250.407636832835,100,43,4
23350.566073149275,121,42,10
23450.31518966283,106,46,6
23550.881262742467,117,43,4
23651.048716060563,137,47,1
23751.066470654656,140,44,5
23851.227964019385,101,30,14
23951.98289031135,79,20,23
24051.819523368285,66,29,30
24152.07904163031,58,20,34
24253.07117685162,57,13,33
24353.518774583797,63,9,38
24454.562808877457,56,5,43
24554.507029968823,57,4,26
24655.132847447352,42,2,22
24756.190245509817,38,2,28
24856.198951864,43,1,37
24956.127444847276,40,2,51
25056.757839690512,35,1,66
25156.828506014623,37,0,70
25257.241080138363,29,0,146
25357.662994967097,15,0,233
25457.6992014166,14,0,298
25557.96734281583,10,6,354
25657.972387948455,11,8,322
25758.09419340209,9,9,294
25858.18222301933,10,9,265
25957.816100510663,8,11,234
26058.23825876695,15,29,218
26158.27487764547,16,36,171
26258.203359595547,18,38,136
26358.521379623853,26,38,142
26458.55394856564,23,30,126
26557.844107120072,26,35,132
26658.7475957175,21,32,136
26758.987716471183,21,34,123
26858.750286566024,26,20,116
26959.04068549308,27,32,118
27058.81857653427,21,30,106
27158.70399400282,17,30,118
27259.62797418525,14,26,112
27359.656587528138,16,32,98
27458.798542947367,5,37,99
27559.28914978139,11,42,104
27659.951240137583,22,34,119
27760.36201502483,18,36,96
27860.458753389437,19,28,76
27960.908388276872,24,34,75
28061.19499151892,26,34,46
28161.109053125205,29,33,39
28261.618333140552,22,26,41
28360.903107651895,19,25,38
28462.36381407543,16,13,28
28561.769476748654,14,18,31
28662.559554811796,11,13,39
28761.51843362575,9,17,33
28863.21974793743,4,21,31
28963.146670984108,7,48,18
29063.71535342858,17,67,19
29163.890677228923,32,76,24
29263.813201550194,34,65,28
29364.60087336799,29,75,18
29464.328317415955,34,74,19
29565.019418996853,21,73,11
29665.39613976109,27,59,3
29765.601351954585,41,67,2
29865.5207982654,39,63,1
29966.39543995261,68,51,0
30066.37898004625,94,45,1
30166.8292056778,138,46,0
30266.63801384113,201,41,0
30366.961014780925,264,42,0
30467.176545827955,359,36,0
30567.186939573527,500,24,0
30667.188414478227,545,27,0
30767.496836265953,618,23,0
30867.568422955184,645,19,0
30967.57324710226,688,21,0
31067.730006305956,768,28,0
31167.753597242227,787,21,1
31267.883614707513,826,15,0
31367.90152130927,805,16,0
31467.72968504187,805,25,0
31567.967999288576,833,19,8
31667.997214402305,759,19,19
31767.97658271964,695,12,18
31868.113033612826,656,11,16
31968.070447936916,621,10,18
32068.1393847244,544,13,19
32168.164778316775,434,10,25
32268.174370722612,428,8,30
32368.09861727296,388,1,26
32468.013597869558,340,1,41
32568.187503436246,276,1,42
32668.148533756837,265,0,73
32768.217375301836,268,0,98
32868.19917388746,232,0,120
32968.838940812486,175,0,114
33068.908127322386,150,0,121
33169.19508017688,130,0,194
33269.332817617105,130,0,246
33369.38464066873,90,0,289
33469.361370683626,104,0,384
33569.34114436292,105,0,435
33669.51385032953,94,0,464
33769.528459983616,71,0,519
33869.729928967274,69,0,622
33969.77444132697,57,0,618
34069.79740661193,46,0,609
34169.86817093377,48,0,636
34269.9679238556,32,0,645
34369.89871048942,20,0,703
34469.97490834967,18,0,639
34570.038155997216,21,0,614
34670.1030832296,18,0,700
34770.066042451836,18,0,684
34870.165017440246,17,0,671
34970.24367293371,19,0,652
35070.342900927644,19,0,653
35170.31500724812,17,0,674
35270.49707534653,13,0,685
35370.66004862262,10,0,684
35470.6481525108,19,3,683
35570.47228579141,17,5,632
35670.89152296186,5,16,544
35771.17223356475,2,16,481
35871.26704400036,2,24,505
35971.230483654974,1,33,479
36071.29100904177,1,55,421
36171.45848888005,0,87,358
36271.54654581023,1,90,346
36371.57484449789,1,152,333
36471.845714441195,0,170,296
36572.18262086913,0,183,289
36672.15790584913,0,212,275
36772.157023231826,0,236,237
36872.25159817118,0,292,240
36972.27972272099,0,355,232
37072.087893853706,0,377,226
37172.33807535092,0,475,179
37272.43850303034,0,533,173
37372.56388985371,0,643,168
37472.58001455527,0,689,140
37572.68468113788,0,763,126
37672.85500634077,0,857,102
37772.902554347995,0,925,103
37872.89673061782,0,896,87
37972.896095110664,0,964,71
38072.97873189999,0,922,65
38173.02329280787,0,937,45
38273.02681920163,0,989,51
38372.83265744082,0,967,57
38473.05308383648,0,966,48
38572.998838657564,0,995,39
38673.054752034885,0,1039,43
38772.952151749625,0,1032,43
38873.17100578963,0,1044,44
38973.24972687144,0,1094,23
39073.159363137034,9,987,28
39173.236839834666,13,916,26
39273.46002459392,21,840,25
39373.42479476658,22,759,20
39473.510445979875,18,620,13
39573.49293760747,28,530,8
39673.810588659886,29,513,12
39773.84083535642,33,547,5
39873.854793709295,37,464,3
39974.0568476996,60,425,0
40074.185498902894,45,402,0
40174.1660989814,68,344,0
40274.34792766874,84,289,0
40374.5359765659,111,241,1
40474.515374968636,143,231,1
40574.46378591579,172,222,0
40674.62414961122,220,207,0
40774.91213220646,316,213,0
40874.9128975766,439,190,0
40974.95052764285,577,177,0
41074.96574910084,622,146,0
41175.014343418,637,127,0
41275.03131651584,704,113,0
41375.02812158011,716,96,0
41475.174052592796,762,82,0
41575.19652740498,826,90,0
41675.11352076779,829,78,0
41775.3278208018,872,82,0
41875.37007670215,930,75,0
41975.41708090427,964,62,0
42075.444383723676,1042,57,0
42175.39272936143,1100,65,0
42275.47055227507,1141,53,0
42375.468494753506,1099,48,0
42475.48713623248,1103,36,0
42575.531136145815,1099,46,0
42675.53126459388,1096,32,0
42775.53008063621,1145,15,0
42875.579549323185,1043,7,0
42975.57015364767,1125,1,2
43075.61629458461,1046,0,64
43175.65998147353,916,0,123
43275.6563619109,897,0,191
43375.74858817659,746,0,240
43475.68199647167,708,0,276
43575.78477686963,604,0,332
43675.73742231557,573,0,401
43775.8920075484,491,0,431
43875.90066655083,415,0,502
43975.82873190759,406,0,525
44075.91763886026,393,0,627
44176.00693739209,377,0,633
44275.97064797488,319,0,673
44376.073155611004,307,0,633
44476.04154977589,265,0,658
44576.047347880056,220,0,714
44676.132095432724,179,0,716
44776.20789381131,131,0,765
44876.19555469188,125,0,786
44976.20015939138,97,0,764
45076.272705500916,79,0,803
45176.26171815432,94,0,796
45276.53725406935,81,0,818
45376.509485508905,81,0,789
45476.372465011395,63,0,777
45576.59000922864,49,0,795
45676.71553818004,37,8,870
45776.75864321816,35,10,789
45876.90939163348,33,7,715
45976.967702147296,36,9,651
46077.022713192826,23,10,598
46176.988421913804,27,9,558
46277.0725469175,26,8,493
46377.15581230283,27,8,413
46476.978287003796,25,8,355
46577.29883052063,22,10,350
46677.53062184545,5,6,309
46777.37458462024,2,4,247
46877.62611349149,1,5,224
46977.62576695994,0,12,207
47077.637509892294,0,30,228
47178.158454311284,1,72,195
47278.022304739905,1,94,186
47378.24490501133,1,124,172
47478.341346462774,0,145,178
47578.453660343024,1,168,134
47678.31957296403,0,189,126
47778.571073470186,0,250,107
47878.56425717938,0,301,93
47978.84040220937,0,378,83
48079.17439270704,0,460,61
48179.14136325079,2,511,42
48279.27426726966,7,495,49
48379.293294201336,3,463,35
48479.32420534836,8,416,42
48579.29720514008,4,366,24
48679.57954441958,9,344,28
48779.59130230192,15,313,26
48879.6715022994,18,290,11
48979.85894147189,20,271,5
49079.811644628535,26,267,3
49179.86657913903,21,231,3
49279.65399161342,50,194,0
49380.02832106967,120,192,0
49480.15593184564,167,203,0
49579.82815302672,223,177,0
49680.154042609,343,166,0
49780.35421455383,429,142,0
49880.35424331603,468,104,6
49980.50936069484,487,95,9
50080.510463392064,451,81,5
50180.5386875397,452,69,8
50280.5267616311,409,63,6
50380.672222931054,365,51,7
50480.43799271522,390,41,12
50580.46316921008,313,43,11
50680.82312212925,284,49,14
50780.85254811854,253,41,15
50880.932331318065,247,31,26
50980.27115631493,248,29,13
51081.33652011187,211,42,6
51181.240300852995,223,41,1
51281.257525194356,244,37,1
51381.19813329679,278,29,1
51481.422105421094,282,18,0
51581.737079775485,293,14,1
51681.81288244137,292,13,0
51781.760078450105,298,17,1
51881.87784883866,268,19,0
51981.933199601954,349,17,0
52082.13902929159,384,13,0
52182.199439005446,446,2,0
52282.24773787813,500,3,8
52382.29680754707,468,0,39
52482.32997048557,487,0,134
52582.30556548886,474,0,167
52682.424418378105,412,0,225
52782.37374743871,357,0,319
52882.47266693399,327,0,395
52982.53016736079,294,0,464
53082.57219448218,257,0,501
53182.70772495185,223,0,532
53282.63481702207,216,0,558
53382.75446460995,232,0,567
53482.803786390985,184,0,616
53582.79837698153,172,0,638
53682.80007738721,166,0,647
53782.9840622171,152,0,705
53882.95661714303,132,4,698
53983.076258181565,174,8,620
54083.175803111495,168,6,523
54183.22872001067,140,12,457
54283.710055922566,109,10,444
54383.49126534866,105,7,422
54483.881798650145,116,10,367
54584.08390524762,108,14,321
54684.07978216943,68,9,301
54784.26093771734,70,10,288
54884.16298904742,71,15,281
54984.32318212749,64,13,210
55084.646275954336,41,13,200
55184.65464105604,37,20,192
55284.575981514565,34,15,219
55384.990049261425,40,26,203
55485.06332469333,34,21,179
55585.126196832796,33,22,139
55685.42850805933,25,31,157
55785.24418520562,33,21,156
55885.5843047766,28,12,149
55985.65941162739,19,9,145
56085.20721691792,16,8,100
56186.18190950562,10,7,113
56286.41391953437,11,6,128
56386.94789533891,11,3,120
56486.860743071185,11,1,130
56587.418731703794,11,0,147
56687.31536691248,12,1,168
56787.76656870909,13,0,185
56887.61815066278,12,1,211
56988.278288957525,6,8,210
57088.31431485473,8,12,203
57187.903545145185,7,13,186
57288.67638687372,7,25,185
57388.951504311546,5,21,157
57488.96318793667,10,24,155
57589.04660396707,3,30,169
57689.17759830952,1,45,141
57789.22817600563,1,55,142
57889.444366407224,0,77,111
57989.85041104072,0,106,115
58089.99777564001,0,137,85
58190.01727628042,0,195,74
58290.22614458613,0,270,76
58390.676182585994,0,356,74
58490.90001547276,7,388,52
58591.01283755387,4,419,63
58691.135002033625,1,389,50
58791.145110486636,0,421,53
58891.01150609755,0,439,51
58990.83852539622,4,533,46
59091.254282535396,7,508,43
59191.46104745853,3,504,50
59291.58635905287,7,565,38
59391.60782369305,7,491,39
59491.82418449659,8,433,44
59591.87885097491,5,396,42
59692.089834105755,11,375,29
59791.87644287786,17,366,30
59892.404990175244,20,357,27
59992.403831135285,15,351,15
60092.39768372318,12,337,18
60192.53732609703,19,313,20
60292.72962294882,27,278,13
60392.989978749116,28,263,19
60492.989630715456,33,218,25
60592.7263499386,38,197,21
60693.213358524146,54,170,9
60793.159285556256,50,142,5
60893.30107192781,38,132,2
60994.341147480205,44,144,0
61094.91928439626,93,140,0
61194.94548145197,155,120,0
61294.956622585065,222,108,0
61395.11385433507,273,110,0
61494.96050602904,352,112,0
61595.5310218978,384,94,0
61695.48464854882,415,102,0
61795.57392811677,456,90,0
61895.47983258193,528,100,0
61995.67643340064,632,89,0
62095.711607210294,698,62,0
62195.735477271126,759,48,0
62295.83787723843,755,42,0
62395.867023717896,919,32,0
62495.86263806162,960,22,5
62595.8723737297,951,19,10
62695.92840242974,883,11,8
62795.89331549765,822,10,18
62896.02128549805,721,10,21
62996.0265795647,649,11,20
63096.03032267688,579,7,40
63195.99518813253,552,1,44
63296.10825538188,518,0,71
63395.81648251823,458,1,92
63496.3843147478,429,0,140
63596.29154438921,375,1,134
63696.44066311408,355,1,137
63796.47156376697,342,0,162
63896.72989927413,326,0,194
63996.66187026119,294,0,242
64096.944292734566,273,0,290
64196.9835266383,290,0,395
64296.97144799121,277,0,391
64397.06516575655,270,0,366
64497.127632869786,238,0,419
64597.15001798481,206,0,495
64697.17642591753,182,0,595
64797.200423001916,164,3,648
64897.120888155776,162,3,636
64997.32626613069,117,8,628
65097.30722296733,109,7,577
65197.32502047289,111,7,503
65297.31649430921,118,13,471
65397.35848656337,104,11,439
65497.464568765514,96,13,454
65597.4519348394,84,4,367
65697.67985494848,52,7,318
65797.72124560633,34,4,287
65898.13657922448,43,1,287
65998.47612844195,25,0,275
66098.08374337431,22,0,267
66198.47590217383,15,0,309
66298.7377109199,16,4,299
66398.75809451201,11,10,303
66498.72334265048,9,6,308
66598.96975370022,9,10,274
66699.36286993048,7,13,263
66799.38867993947,6,19,232
66899.58455990984,9,24,247
66999.70007509606,10,19,197
67099.39524614188,10,14,181
67199.98889757357,10,8,180
67300.15176740178,8,6,177
67400.03306436358,9,12,167
67500.1806072963,7,25,152
67600.47926455986,5,22,122
67700.45961016376,2,33,105
67801.04983181355,0,36,102
67901.28623336207,0,74,93
68001.90659763617,0,93,107
68102.02636082216,1,117,94
68202.07774438453,1,149,83
68301.89258853643,1,164,99
68402.18901028184,0,158,86
68501.8412264954,0,188,72
68602.36448542499,0,249,52
68702.29115077609,0,309,53
68802.55575941417,0,443,65
68902.74966508165,0,489,57
69002.6524050068,0,540,41
69102.74678317284,0,582,48
69202.96647390889,0,592,47
69302.85293680556,0,625,40
69402.96978773472,0,674,40
69503.12820373672,0,739,29
69603.15541809393,4,779,14
69703.16301578625,10,778,11
69803.17430369536,9,671,14
69903.2613652501,3,668,13
70003.25841404256,1,627,13
70103.43314455243,0,559,12
70203.30253574478,0,502,13
70303.55911284738,6,490,9
70403.59524434003,16,421,14
70503.76244994138,22,393,6
70603.71612958751,30,339,11
70703.78804607246,34,270,7
70803.88784190372,47,265,9
70903.9106962088,54,264,9
71003.62606394643,49,241,13
71104.82000913615,54,215,14
71204.72311505368,53,210,9
71304.97962079158,82,182,13
71405.27249310179,72,200,9
71505.30423621488,67,159,4
71605.55027632492,91,147,0
71705.4782077441,133,153,0
71805.55546112364,242,130,0
71905.65609144978,296,133,0
72005.59532645429,399,115,0
72105.55060995795,518,109,0
72205.63787276656,553,90,0
72305.80640585657,613,91,0
72405.84787516852,692,64,0
72505.84967617595,790,54,0
72605.8482072258,815,53,0
72705.82060981948,867,49,0
72805.91279451242,865,52,0
72905.92902757225,828,40,0
73005.89526038276,890,38,0
73106.00381380515,986,27,0
73205.99711340977,1067,23,0
73305.99540933105,991,25,5
73406.03760180037,949,33,5
73505.87863719928,827,28,1
73606.08840631101,833,25,0
73706.14664442772,772,29,0
73806.19933952882,803,26,10
73906.13595028293,764,29,8
74006.2946032621,642,23,8
74106.33023116546,561,18,10
74206.15835610432,525,26,15
74306.39519959445,519,28,23
74406.43883199374,458,24,16
74506.43518330838,392,24,11
74606.65734244151,378,23,7
74706.2039118052,307,19,7
74806.86935568127,337,19,9
74906.84394647408,324,19,10
75007.06695554106,308,23,10
75107.06150640869,284,15,12
75206.96795901856,236,14,25
75307.78090538707,215,11,15
75408.09346313404,200,14,14
75508.13000043346,156,11,25
75608.78882093409,151,8,31
75708.96101266811,140,10,23
75809.00979900936,114,11,27
75908.92968896852,119,16,31
76008.55497499541,99,27,18
76109.56693712724,96,18,30
76209.82583186663,80,20,36
76309.75377013157,61,14,22
76410.1453768141,79,8,23
76510.03537247989,65,7,26
76610.96363255633,64,8,14
76710.61425661572,69,4,21
76810.83658474783,61,5,31
76911.26356822933,63,2,42
77011.8210596954,50,5,44
77111.51556628614,41,4,51
77212.51989364951,32,5,62
77312.80758209426,18,6,74
77412.5050668241,15,2,95
77513.13967360399,19,2,104
77612.45447184521,17,1,121
77713.86699776394,19,0,122
77814.34680186318,18,0,172
77914.43887709791,16,0,191
78014.4743481833,18,0,244
78114.38903074227,23,0,327
78214.63978554538,23,0,375
78314.68119324412,25,0,420
78414.6602591375,21,0,478
78514.94226263084,20,0,418
78615.02995665568,21,0,475
78715.02840392849,17,0,497
78815.12055260211,12,4,540
78915.07612746765,5,17,545
79015.1321108846,1,11,553
79115.27797204738,0,24,491
79215.27553401749,0,40,420
79315.48515679842,0,94,385
79415.62347402253,0,167,295
79515.59792917052,0,237,257
79615.78715704946,0,306,290
79715.85726122675,0,410,253
79815.88931303694,0,532,246
79916.00120900353,0,656,194
80015.99035064143,0,712,201
80116.01445176269,0,773,156
80216.0816953415,0,769,131
80316.12314208863,0,798,135
80416.16997070963,0,793,120
80516.13805713052,0,881,117
80616.26910313788,0,874,121
80716.27795228899,0,834,115
80816.27489059065,0,850,116
80916.29557082002,0,873,100
81016.28473277869,0,918,117
81116.39606517646,0,904,104
81216.34544273939,0,907,92
81316.41807699358,0,916,80
81416.41750233306,0,877,69
81516.39234132023,0,908,74
81616.54528265247,0,822,64
81716.61773485588,0,807,61
81816.41526521507,0,771,57
81916.67754731954,0,796,66
82016.71152816349,0,838,69
82116.75141785863,0,981,55
82216.80802564441,2,944,48
82316.83341411156,6,947,45
82416.95642959689,12,909,38
82517.0702278602,16,844,31
82617.08436605305,18,745,31
82717.0490826536,15,625,27
82817.23549896885,21,587,20
82917.49820944773,29,504,19
83017.67605432222,22,429,15
83117.86068137111,23,359,13
83217.95457107744,27,324,11
83318.05613617065,41,305,12
83418.1142919284,38,295,8
83518.36160991112,35,279,5
83618.35529041376,40,270,0
83718.45610365778,110,232,0
83818.5317516379,220,217,0
83918.98578977553,284,194,0
84019.2016201548,394,164,0
84119.32885929808,446,150,0
84219.35257436802,592,152,0
84319.43176187773,663,144,0
84419.43559080559,711,120,0
84519.46533177218,712,96,0
84619.68925680415,690,66,0
84719.68103852487,740,54,0
84819.59613284511,746,46,5
84919.67494336671,766,44,11
85019.75602554268,768,46,7
85119.79912416471,664,45,8
85219.8040932813,633,43,10
85320.03876908924,617,27,8
85420.05984979247,621,24,11
85520.08324940146,548,20,9
85620.36314211923,480,20,10
85720.54159769621,426,15,4
85820.585263794,402,12,3
85920.99154968237,396,7,10
86021.09591265483,342,8,6
86121.0824375159,290,4,19
86221.18316414606,281,8,32
86321.22326010255,231,10,38
86421.5422463905,204,5,51
86521.63518510113,178,7,48
86621.80919648398,158,10,53
86721.87487472004,148,11,57
86822.08272818748,116,13,57
86922.30273230183,114,8,42
87022.5339271133,102,14,48
87122.96718301288,87,17,43
87223.27509430048,83,16,43
87323.48843359452,54,13,35
87423.59641881639,43,8,34
87523.65543758041,38,19,29
87624.63072180038,18,20,21
87724.10678194097,10,27,17
87825.12792588276,7,18,17
87925.34194636527,2,28,15
88025.3215713608,1,37,22
88125.53092739418,0,69,25
88226.08586047859,0,126,22
88326.42094795793,5,131,8
88426.34539304313,11,129,2
88526.47611328126,12,147,0
88626.60624811308,44,138,0
88726.88652127588,79,152,0
88826.99287850539,181,132,0
88926.74579364176,286,100,0
89027.12898548257,395,76,0
89127.2262570268,496,79,0
89227.39224496929,613,62,0
89327.5764532606,707,39,0
89427.5828154209,766,29,3
89527.65901095723,832,44,4
89627.75420484837,804,39,6
89727.79545237485,730,29,14
89827.86471334014,731,27,13
89927.84907691223,684,22,16
90027.91947316933,577,32,19
90128.07608809034,503,31,15
90228.17872389781,445,31,14
90328.21188550263,403,36,16
90428.1291023666,378,21,14
90528.2985934436,307,24,19
90628.52793876242,283,24,21
90728.91555456909,293,20,18
90829.31922011991,260,25,18
90929.11229508687,240,12,22
91029.42919604381,221,11,21
91129.6651150286,200,9,23
91229.9798606634,169,4,23
91330.07382391793,142,8,29
91430.06053899572,129,15,26
91530.442349184,145,21,36
91629.77142923551,137,20,25
91730.75410881138,130,26,30
91830.54474896495,101,22,29
91931.27653025475,90,26,38
92031.24941923474,66,20,33
92131.80582702516,59,21,36
92231.84918469883,51,17,33
92332.7171869947,69,9,30
92433.01205161064,68,2,19
92533.05145093836,48,2,18
92633.27518756292,45,1,38
92733.63400322679,38,0,72
92833.56838312956,27,0,149
92934.11172254264,20,0,218
93034.24468658156,17,0,272
93134.27884595437,21,0,312
93234.46018986708,18,0,341
93334.46960294049,15,0,352
93434.38034752884,18,8,393
93534.6413955782,26,5,415
93634.58677713489,14,4,368
93735.18614384836,7,0,348
93834.8101994181,15,0,306
93935.33320656912,11,0,323
94035.49055851092,13,0,381
94135.57470451835,16,0,402
94235.63744368734,8,0,438
94335.79260647867,11,0,509
94435.91803114804,12,3,507
94535.87476736112,6,8,518
94636.04037402314,4,11,462
94736.19324433502,2,22,441
94836.0399011328,1,21,420
94936.1774754013,0,61,348
95036.30989765112,0,131,323
95136.36388024177,0,212,332
95236.5029078477,0,306,282
95336.59523099817,0,411,233
95436.66969556722,0,409,220
95536.62713394579,0,413,168
95636.69242826941,0,487,172
95736.71897928047,0,541,166
95836.8964542962,0,570,138
95936.95153883634,0,626,151
96036.92003403466,0,606,140
96137.0642105573,0,650,124
96237.05418360743,0,626,102
96337.14829687006,0,766,76
96437.16443472721,0,768,73
96537.19038789897,0,778,69
96637.4896810076,0,769,53
96737.62614815135,0,768,36
96837.65228685043,0,848,38
96937.6631880946,0,918,36
97037.75098867327,0,933,32
97137.77855310103,0,984,36
97237.70631498922,0,945,25
97337.92680618768,0,913,18
97437.9802874181,6,920,13
97538.061325625,2,844,14
97638.09287457938,0,843,24
97738.09362194444,10,765,13
97838.10762253772,13,696,14
97938.11650486609,15,615,8
98038.29062990371,16,628,6
98138.17986806354,7,538,7
98238.16353181467,7,474,10
98338.39708899318,15,422,11
98438.54009905795,20,399,14
98538.65424840078,15,348,7
98638.31097327484,25,273,7
98738.67973370303,25,227,4
98838.71480995565,30,179,2
98938.6417284288,33,146,2
99038.91866334192,35,121,1
99138.93995162165,76,97,0
99239.53012677889,159,70,0
99339.16676383071,264,59,0
99440.02962579156,348,49,0
99540.29471426392,423,46,0
99640.38453125526,476,37,0
99740.38438157868,516,34,0
