Time,sum([sp_0]),sum([sp15]),sum([sp14])
11066.357940198995,20,80,80
11260.368708810776,20,80,80
11418.07345032051,19,80,80
11490.22820866246,19,81,81
11525.432768623981,19,81,81
11638.753264075674,18,81,81
11702.113007107302,18,82,82
11741.25271715705,18,82,82
12108.516426096212,17,83,83
12172.299151582367,17,83,83
12189.748831782634,17,83,83
12335.989133058014,16,84,84
12478.754167232104,15,84,84
12485.336653594075,15,85,85
12557.006730685756,15,85,85
12589.259548885815,15,85,85
12632.274108102958,15,85,85
12920.36015809481,15,85,85
13389.933044611162,15,85,85
13642.701004614213,15,85,85
13769.549156692807,15,85,85
14123.4357186478,14,86,86
14204.443451680427,14,86,86
14277.721976954757,13,87,87
14333.180269080909,13,87,87
14465.63735615466,11,88,88
14499.833283074007,11,88,88
14528.970902440173,11,89,89
14552.73252863925,11,89,89
14655.240329222279,11,89,89
14733.587517391605,11,89,89
14803.684135613596,11,89,89
14906.785918194391,11,89,89
15186.761912302842,10,89,89
15229.091565344763,10,90,90
15250.072192213755,10,90,90
15967.270447305094,10,90,90
16598.172195113355,9,90,90
16640.801996106547,9,91,91
16700.222994836582,9,91,91
18154.16158197273,9,91,91
18200.808365742716,9,91,91
18293.697759347382,8,91,91
18328.43007079751,8,92,92
18387.515640566922,8,92,92
18433.658138736944,8,92,92
18491.056858321233,8,92,92
18582.31814532999,8,92,92
20895.280923019676,8,92,92
20977.32913359165,7,93,93
20997.85528171663,7,93,93
21035.459798616044,7,93,93
21395.690268050523,7,93,93
21546.358878527775,6,93,93
21620.65833059327,6,94,94
21642.30205287062,6,94,94
21693.887666954684,6,94,94
22644.312408981987,5,94,94
22678.376503161562,5,94,94
22725.41795004762,5,95,95
22837.603667289914,5,95,95
22997.438724929318,5,95,95
24696.861329822914,4,96,96
24706.850871088453,4,96,96
24746.210785314117,4,96,96
24851.89025958775,4,96,96
24858.219030651082,4,96,96
25041.403367201558,4,96,96
25438.794310454552,4,96,96
26104.460972463472,4,96,96
26276.886260655967,3,97,97
26344.833581941475,3,97,97
26450.934537161804,3,97,97
26468.93240775066,3,97,97
28578.74278029962,2,98,98
28607.369277723556,2,98,98
28631.162914079006,2,98,98
28839.556748108495,2,98,98
28869.636928668082,2,98,98
28877.783595963207,2,98,98
28980.110107230197,2,98,98
28996.780349993216,2,98,98
29999.999989967804,2,98,98
