Time,sp_0,sp9
2615.5044030991467,32,936
2624.71268324057,30,937
2630.0622434137745,30,937
2642.018253013421,29,938
2648.439036570645,29,939
2655.465848661067,28,943
2660.43721260429,27,944
2667.260552060483,27,946
2671.940403990245,26,947
2680.200477371851,26,949
2689.650089379329,25,951
2691.7676365122156,25,951
2723.6918302650574,23,951
2727.1150560010487,24,952
2733.5660071224706,23,952
2740.1547865495572,23,952
2753.8884995769317,22,953
2760.2788469191505,22,954
2770.834885182148,21,954
2781.2905929170165,20,955
2788.056337131279,20,956
2791.86468489504,19,958
2798.238158723228,19,959
2804.1371181227014,19,960
2811.2950994483126,19,961
2826.4317308303825,19,962
2828.7188084425575,19,962
2839.6315261368923,19,962
2846.265974146191,18,963
2871.274691488968,18,964
2878.365578758683,17,965
2889.64974922007,17,965
2900.8396500907265,17,966
2903.8850019881124,16,967
2917.5666205899993,16,967
2936.890625640594,15,967
2944.516679368532,15,967
2950.222667168635,14,967
2956.423554261781,15,967
2977.2142270602526,15,967
2984.612424148268,15,967
2988.545782885331,15,968
3009.0584142099356,15,968
3017.88074737092,15,969
3032.188115719798,14,970
3047.0713373475637,14,970
3057.0813498667135,14,971
3066.886988683429,13,971
3081.002939311972,13,972
3093.6280873002715,13,972
3105.3639491592166,13,973
3116.8304951054097,12,974
3127.1313893889073,12,974
3135.2259881353107,12,975
3143.9379652702337,10,975
3147.83008464813,10,975
3159.4354912593317,10,977
3166.6026683195278,10,978
3177.7256033826493,10,978
3185.6518905676976,10,979
3195.7474194422234,10,980
3238.571945964152,10,981
3270.7033422682907,10,982
3280.322493841005,10,982
3288.536037105958,10,982
3334.7836580922917,10,983
3373.6492406703455,9,984
3378.119521344374,8,984
3386.7761347132773,8,985
3401.9937237538993,8,986
3412.278473135821,8,987
3421.6496771681846,8,987
3432.7318658142785,8,987
3461.326353674473,7,987
3465.191670581362,7,987
3468.083015692241,7,987
3484.136578907388,7,987
3502.037355159798,7,987
3515.001829952923,6,987
3520.1888411070317,7,987
3543.0211796116564,7,987
3547.8159255911064,7,987
3567.8600087525197,6,987
3591.1323420562626,6,987
3598.466555817321,5,987
3603.649089325204,6,987
3697.951871213983,6,988
3706.430437792854,5,988
3714.189249272902,6,990
3768.01601570045,6,990
3769.489879839559,6,990
3776.2597023064172,6,990
3786.123662979089,6,990
3799.662946422667,6,990
3810.772230817665,6,991
3857.6798089796266,6,991
3868.738955542564,6,992
3903.3942939570343,5,992
3904.8419982755972,6,992
3934.5123480954926,6,992
3952.407270204448,5,992
3961.6103689221436,4,992
3968.061936091088,4,992
4005.188898049176,3,992
4037.179453585206,3,993
4122.140585493271,3,994
4231.349256988195,3,994
4244.0246485840225,3,994
4268.189954227097,3,994
4280.818294264676,3,995
4364.40765751139,3,996
4370.143908630463,3,996
4396.324646022799,3,996
4566.55897227256,3,996
4634.97187343369,2,996
4637.930450446594,2,996
4775.420585753029,1,996
4878.358443087268,1,996
4913.7606882563205,1,997
4976.30364187418,1,997
4993.284842832363,1,998
4999.999999932848,1,998
