Time,(([sp155] + [sp156]) + [sp_0]),(([sp147] + [sp148]) + [sp_1]),(([sp151] + [sp152]) + [sp_2]),(([BJ2x2_7] + [BJ2x2_15]) + [BJ2x2_23])
31064.121001367344,159,228,192,4
31565.415776002497,162,227,188,3
32066.81348150503,158,225,188,3
32569.091448386,164,221,187,2
33069.01994146834,164,217,190,3
33570.10222218032,162,214,191,2
34071.44483960866,158,209,188,2
34574.05858668208,157,212,189,2
35071.905890912174,158,216,196,3
35574.89012609744,156,218,193,1
36074.807649837516,159,217,200,2
36574.708409161714,159,211,207,1
37078.34789504248,161,212,208,2
37579.215797885445,165,208,212,6
38078.88932487546,164,207,202,2
38581.17265733014,168,213,202,2
39083.03903006314,170,214,201,2
39583.31297311314,165,210,205,1
40085.47974682076,165,212,209,1
40585.40684634285,165,206,207,2
41084.85472596438,163,206,210,3
41585.67198659536,153,201,213,2
42087.78218753356,155,212,219,5
42587.11543754288,155,209,222,1
43090.71481025191,155,201,223,2
43590.51324666572,152,197,228,4
44093.297876599536,149,192,234,3
44594.81251760622,150,201,229,7
45095.08653886738,145,201,232,1
45595.78030002592,139,201,231,1
46096.22939795501,135,208,236,3
46596.66159964218,138,206,244,3
47097.766894247594,135,204,247,1
47595.91040433452,135,204,254,2
48099.08339879452,137,196,256,4
48603.57683379771,134,193,252,1
49107.835850796335,130,192,256,2
49610.376564417806,127,193,252,1
50109.57615380945,128,188,259,3
50611.086835919414,129,184,260,0
51114.44008212281,128,175,263,1
51614.77300793672,131,180,271,1
52115.37077393469,136,175,271,2
52616.26813161582,130,174,273,7
53114.21620382422,135,176,275,4
53615.69322624143,137,173,278,2
54119.645499110775,137,172,287,1
54621.220600191664,136,177,284,2
55122.89507900319,132,168,289,0
55621.332101750115,131,169,283,2
56122.64845386116,128,166,286,1
56622.319375572864,135,158,283,3
57124.92385642657,137,154,286,6
57625.59923040883,138,149,289,4
58127.63733389049,137,143,292,4
58628.168264793734,136,141,288,2
59126.907912373375,144,144,288,2
59626.71222219254,146,140,292,3
60129.120374493556,145,134,298,2
60636.00120574623,149,130,300,4
61136.09635344296,152,118,301,2
61637.30807022669,153,118,306,2
62139.54040102677,159,119,307,3
62638.66519221522,166,116,305,2
63138.1862207004,161,120,306,4
63642.39477537033,164,122,301,4
64142.20932128671,165,121,298,1
64644.31260965546,167,117,292,2
65144.45758682495,170,120,289,1
65645.27852016714,168,113,293,2
66142.11215562023,170,108,284,0
66645.35037734255,184,107,291,4
67146.81641108175,181,104,279,3
67646.24658564205,187,105,280,3
68148.21228840802,188,100,272,2
68646.83064840655,193,101,280,5
69149.17797792793,199,103,279,1
69649.6667855453,206,96,275,0
70150.06097853107,210,96,273,2
70650.4499348129,214,95,269,1
71152.09148359994,216,95,262,1
71649.69444748884,213,92,261,2
72152.90937151415,220,92,259,1
72653.43129611545,222,90,260,3
73153.34865405098,229,93,254,3
73659.72409805622,241,89,254,3
74165.10265881079,240,91,253,3
74666.33297979516,237,90,249,4
75167.59911282314,249,88,253,3
75675.15285262481,251,93,247,2
76176.96096807155,255,84,238,1
76678.00597113924,252,83,235,2
77181.1061079694,252,84,232,4
77682.03721049972,258,86,231,3
78184.41761061864,266,88,221,0
78686.92335641502,267,84,221,5
79186.20281343837,270,86,220,2
79687.6602593901,271,86,220,2
80188.16121663948,276,87,217,3
80688.78209574013,287,87,214,2
81189.94153729868,285,93,209,3
81691.34294093505,290,90,208,0
82193.67437793761,295,91,200,3
82693.88217185141,297,91,201,1
83198.18733790974,304,92,193,1
83702.19707687038,302,91,187,2
84203.39944796823,305,87,184,0
84704.45412338895,318,83,177,2
85209.67967198802,324,91,171,4
85709.60772724047,320,97,167,0
86208.71022694673,320,93,163,1
86711.20433291403,321,94,160,1
87209.31536875667,319,94,156,2
87714.630820835,321,100,148,4
88216.05599877336,326,98,150,5
88719.82568561487,332,102,146,2
89220.35617057931,340,106,136,4
89720.19197241393,342,108,134,1
90220.42643122478,345,109,137,3
90722.01619635294,348,111,136,3
91222.23933982734,341,107,138,1
91722.0097688642,339,107,140,2
92222.52817334059,340,102,141,0
92724.39730751487,342,104,137,0
93223.35445720893,344,100,132,1
93726.36516403171,343,97,128,4
94228.52179896971,343,97,126,3
94726.92164090162,347,100,122,2
95228.46536507778,356,103,122,4
95733.54727812785,349,112,121,2
96236.15319120386,347,114,123,1
96736.87053821221,352,116,122,2
97235.20849822972,348,116,116,3
97736.28319557737,350,121,115,0
98238.333511607,350,114,115,0
98740.53957272883,348,123,103,1
99247.15488806549,347,125,104,0
99751.04026771295,345,128,100,1
100250.21428039206,344,122,99,1
100758.08512694524,351,123,98,2
101263.32036956584,349,127,92,2
101765.21292935938,350,121,92,2
102269.31278239944,349,127,93,3
102775.93355418913,346,130,92,0
103279.20214864305,351,134,90,2
103780.11268387035,351,135,89,0
104282.5269359888,341,142,88,2
104783.81215548048,333,150,88,4
105284.98851539294,328,152,83,0
105785.15895632785,333,155,78,4
106288.32334790388,341,162,81,6
106785.67852267508,336,163,79,4
107288.46501211234,330,172,82,6
107787.64015163458,323,175,75,0
108293.62450457983,316,182,80,1
108796.77685676482,312,185,75,2
109298.48235633738,314,186,77,2
109798.31426775287,312,186,73,1
110299.31024221855,309,193,74,1
110798.94982090668,301,197,75,1
111299.42017399437,309,197,75,2
111799.00128686122,299,202,72,3
112299.74991000703,308,204,73,4
112800.91870382396,302,209,73,0
113300.54054512018,296,214,74,3
113800.9449757981,297,216,69,5
114309.23900226982,296,217,62,0
114811.06762250584,299,221,63,1
115309.6906887775,296,230,64,4
115811.13507157912,282,234,62,2
116312.92023856526,276,245,60,3
116814.13098982559,271,251,60,1
117313.57655859104,266,250,60,0
117815.1224257247,262,252,62,1
118315.53661172089,267,258,56,3
118815.94980900777,263,255,50,0
119316.91663035625,259,268,55,3
119822.95278863356,258,274,54,6
120322.93600109038,251,273,52,0
120819.09218939026,244,275,54,1
121325.31768518692,241,282,59,2
121839.32631363845,237,287,60,0
122339.6846514924,236,296,63,2
122838.62610212753,233,299,60,3
123338.76734588426,229,305,57,2
123843.37062653886,222,312,54,2
124346.49873940372,206,312,49,1
124844.31957500988,204,315,52,1
125351.1317897256,200,329,50,0
125850.34263697435,200,333,55,0
126341.29976028322,196,344,55,0
126853.61078497577,186,338,51,0
127352.32062356414,182,345,50,0
127859.20275414348,172,354,49,3
128357.90608572781,171,363,56,1
128859.4300429113,164,357,58,3
129365.9894180778,160,359,58,2
129865.91818185724,154,364,57,2
130367.28886195559,148,368,61,1
130872.46956871917,144,377,61,1
131372.9417606606,141,380,53,1
131872.0085027783,135,383,59,0
132374.8244949041,124,395,60,1
132875.62854411875,119,403,57,1
133375.72490218436,112,407,57,1
133875.78292361132,108,416,54,4
134379.1737175357,107,416,56,1
134878.42379338027,104,422,56,1
135381.05605014032,99,425,63,2
135882.0096317697,92,425,68,2
136384.0508660678,87,421,70,1
136887.53035581287,85,421,70,0
137387.6045977137,83,419,72,1
137889.43307318658,81,425,72,4
138390.08405901914,74,431,73,2
138892.43072501096,74,427,80,1
139392.82852440327,74,430,75,5
139893.31406961725,71,430,78,1
140394.51385919398,71,429,83,0
140895.27336583112,65,423,90,2
141396.26963872722,63,431,92,2
141897.91674155113,58,438,93,3
142394.10123017838,58,434,91,1
142895.40697995407,57,421,107,2
143402.18438953813,56,413,108,1
143903.28090927735,57,412,106,4
144394.5617540449,56,413,106,1
144905.87666405065,52,416,109,4
145410.0488042961,50,417,111,1
145911.45471725636,47,410,119,2
146412.68111968075,46,409,123,0
146921.687652669,48,408,128,1
147423.51791519922,51,402,128,3
147927.8977104319,51,404,134,2
148427.75477175254,48,403,135,1
148929.2406284507,52,399,134,4
149431.3066564495,51,395,140,0
149931.36041606843,49,395,136,1
150435.11608282296,44,392,147,5
150937.85093895506,43,391,158,3
151438.7764298168,43,385,157,0
151939.5662866768,41,373,167,4
152442.65745038106,41,373,168,2
152944.99911245724,41,372,173,3
153446.62232381327,39,372,174,1
153946.839817704,40,371,178,6
154449.30045114938,38,368,180,3
154951.08280885508,40,364,188,1
155452.40915945548,35,354,187,2
155948.8112920852,35,348,190,3
156453.1249898225,37,350,196,1
156952.06681798023,33,341,200,1
157455.36013382184,32,337,204,7
157955.3496383589,31,332,205,3
158454.75997253298,29,328,218,1
158951.87527118446,27,319,226,3
159459.1272010161,25,319,229,2
159962.9682129124,24,312,234,1
160468.079897889,25,310,243,3
160965.48145722324,25,299,249,4
161467.25796891126,26,297,256,2
161966.66047509774,26,292,268,3
162469.35232537572,26,287,265,1
162971.403924697,33,287,277,7
163473.61724153586,30,283,281,0
163975.6524535132,28,279,284,2
164484.97439076265,25,275,288,4
164987.708611875,26,273,285,0
165488.29833568257,26,265,290,1
165987.4900166714,23,251,291,4
166489.04371980604,25,247,304,0
166991.96555322813,23,242,316,5
167489.4175266219,22,234,324,3
167997.21705193364,23,230,328,5
168497.96007250634,23,225,339,3
168999.85202708037,20,220,338,0
169503.28951576576,19,208,345,2
170006.54628129202,18,205,349,1
170498.93469111773,16,204,354,1
171006.6570616845,16,197,360,1
171510.08768929445,19,189,370,3
172010.06495483304,20,176,378,3
172510.49198391347,22,173,385,1
173011.53017606318,19,162,396,1
173501.92226843405,18,154,391,1
174017.4642944855,17,154,398,0
174520.0260968229,18,150,408,0
175021.19490927813,20,147,407,2
175521.57867835206,18,144,411,4
176023.22915510766,19,136,421,2
176522.8294599673,19,139,429,1
177020.45363836174,19,129,435,0
177524.20471956555,19,122,441,5
178032.52594185653,22,122,444,0
178533.72299412882,21,115,451,0
179035.83707200448,19,106,454,2
179525.47866352584,19,101,466,1
180040.23632512675,17,99,472,4
180532.61153575743,21,94,478,0
181043.2424038293,18,90,482,0
181543.91879959396,18,87,484,2
182044.22670493938,19,84,492,1
182542.16281546085,17,78,498,2
183047.33998289713,19,73,496,0
183548.54956865145,17,68,503,0
184050.50524964064,19,65,507,3
184553.97945454303,20,63,509,1
185050.07173683558,21,59,510,2
185556.941135053,19,54,516,2
186058.74787761492,21,55,514,0
186561.0816329177,21,51,518,0
187060.5699244424,24,48,523,0
187563.65526341758,22,43,527,1
188067.73093218257,22,43,532,2
188574.69417855624,26,43,531,1
189075.8744110954,28,38,532,2
189583.62192305145,30,37,531,1
190090.04855488925,33,35,532,0
190587.18167925358,31,31,534,0
191096.43902095483,28,30,531,1
191602.61122739242,33,25,532,1
192103.4366832721,34,23,532,1
192605.90458635738,33,22,529,1
193102.66210287617,38,20,525,1
193608.5331002699,36,19,529,1
194111.4630245525,38,17,526,1
194598.6336431747,37,16,526,0
195134.7087420478,39,16,532,2
195641.7784870024,39,17,526,0
196133.737153635,38,17,523,0
196648.78297929323,46,17,522,1
197149.86452073726,49,14,522,3
197650.1228614318,49,12,520,0
198115.9058417319,51,10,519,0
198652.45859199078,54,11,517,0
199154.72761417835,60,11,514,2
199653.37488647882,59,11,513,1
200158.3977164693,60,11,508,1
200652.33306045836,66,10,505,1
201164.473940015,71,9,501,0
201650.6381896858,73,9,495,0
202171.04675042554,75,7,501,1
202680.6697753639,76,8,493,1
203179.66313697834,82,8,489,2
203677.47730390928,85,8,485,0
204176.59571241136,82,9,480,2
204669.29404806893,87,9,475,0
205194.4438591873,95,7,471,2
205699.3441847925,102,7,466,0
206203.0592059241,103,8,464,2
206707.3716337017,104,8,459,0
207213.7965859691,108,7,459,0
207714.84241242873,114,6,456,1
208219.83457962156,123,3,451,1
208723.59193361618,127,2,445,0
209223.32574971172,137,3,440,1
209725.97763007283,140,3,436,2
210228.01655784773,147,3,433,2
210730.27455114262,150,2,423,0
211230.76216444798,160,2,422,4
211732.51533413824,174,3,413,4
212233.1092017578,182,3,408,1
212736.41607853028,195,3,396,2
213237.77550107727,195,3,390,1
213737.12815221294,196,3,381,2
214240.93329346823,198,3,373,2
214742.4125541584,210,3,372,0
215260.42430675332,220,4,360,2
215766.85569621823,230,4,349,2
216266.3189205562,232,4,346,0
216764.21291986355,234,4,341,3
217267.4198336063,242,3,335,0
217772.0400560801,247,3,325,2
218272.84826054823,257,3,314,1
218773.8351366153,265,3,306,3
219272.8832022561,278,2,302,0
219773.25312173812,280,2,297,2
220276.69927000842,288,2,284,4
220777.4781374656,301,1,278,1
221275.7544279549,301,2,272,1
221781.0037487124,307,2,267,1
222283.13500967782,316,2,256,0
222783.73277027704,325,3,252,1
223287.5063415567,327,2,244,0
223782.36354339359,341,2,242,1
224301.09451317217,345,2,237,1
224802.5475733006,351,4,228,3
225303.3996119001,370,3,221,1
225802.52760923075,369,2,213,1
226307.64479772386,378,2,198,4
226809.39063992648,394,2,192,3
227314.66202573973,394,3,185,2
227817.77693862072,405,4,176,3
228317.5019922411,417,4,170,3
228819.28551346838,423,4,158,1
229315.56153926742,443,4,149,2
229818.70095186314,443,4,148,1
230322.55706397063,450,3,141,0
230821.72871990394,455,3,139,2
231314.5254105916,452,3,134,0
231822.83168268768,461,2,130,2
232325.38286208894,467,2,121,0
232827.25172045184,467,2,116,0
233331.13815841152,470,2,112,1
233824.5806482487,483,2,108,1
234332.3103358645,494,2,106,2
234823.66249421146,498,2,104,0
235336.8287667957,501,2,102,1
235838.30791586294,504,2,95,1
236353.91697403573,509,2,87,0
236848.4767620129,515,2,82,1
237359.8128013464,517,2,78,1
237861.83315598028,524,2,76,1
238364.42618815321,529,2,71,1
238872.28298888294,533,2,65,1
239374.0369666831,538,1,61,1
239881.5703430823,538,1,58,2
240387.55206589276,542,1,53,1
240898.36858777842,552,1,51,1
241392.37296240436,556,2,48,0
241914.27947139466,561,2,44,2
242405.5184148505,562,2,41,0
242904.04550141367,568,2,39,2
243437.4749656842,569,2,35,1
243929.7987380388,570,2,34,0
244498.59154919448,568,1,34,1
245001.89594126368,567,3,31,1
245503.79780665776,575,3,28,0
246000.1995571287,577,3,27,0
246504.42229589602,578,3,27,0
247008.5953027839,579,3,25,0
247502.16108996025,580,4,24,0
248017.09383809427,580,4,24,0
248515.74496253947,584,3,22,0
249046.94266159544,581,3,21,0
249594.75355532975,585,5,20,1
250098.17617290153,584,5,18,0
250594.35627179767,585,5,18,0
251111.18089282323,592,5,17,0
251627.7552431823,592,6,17,0
252125.91865235666,591,5,16,0
252630.74146405843,595,5,15,0
253130.56622742655,595,5,16,0
253647.0647420676,594,6,15,1
254149.57552568743,593,6,15,0
254644.13686305692,592,4,15,0
255192.30518241055,590,3,15,0
255705.04644066026,589,2,15,0
256216.0789288941,585,3,15,1
256732.58686453564,586,2,15,0
257235.3763448426,586,2,12,0
257682.7413083907,587,3,11,0
258243.34835241162,591,4,11,1
258745.0545638668,589,4,10,0
259218.25093920337,587,5,10,0
259748.22352983433,590,4,8,1
260235.57626803065,593,4,9,0
260768.5691437717,590,4,9,0
261249.1542033773,591,4,9,0
261778.227893793,592,4,7,0
262290.04330861376,588,4,6,0
262789.06676682073,590,3,6,1
263300.70426455094,587,3,4,0
263795.46158217563,591,2,3,0
264359.6695432643,593,2,3,0
264857.2115118732,598,1,3,0
265369.4440412615,600,3,3,0
265863.80229819386,604,3,3,0
266405.3874765733,601,4,2,0
266957.1505420036,600,3,2,0
267403.00005510397,598,3,2,0
267972.95286772004,597,3,2,0
268413.6491947746,597,4,2,0
269044.045797167,600,5,2,0
269561.41288009996,599,4,2,0
270065.3910866332,597,5,2,1
270576.8685873598,598,4,2,0
271065.7704013538,596,7,2,0
271572.42260264966,595,7,2,0
272094.3950816496,592,6,2,0
272603.26001333277,600,6,2,0
273138.2785982735,594,7,1,1
273661.5792798194,592,6,1,0
274208.014942447,594,7,1,1
274712.8193006389,597,7,1,0
275215.37338378653,593,7,1,0
275675.9140731131,592,7,1,0
276190.14974392386,595,7,1,0
276708.16915788525,597,6,0,0
277212.0603648765,599,6,0,0
277731.0461041293,598,5,0,0
278201.73498202255,600,3,0,0
278754.0557311396,596,3,0,0
279267.14478502545,595,3,0,0
279802.92272325134,593,4,0,0
280371.773317317,595,4,0,0
280849.8560229935,593,3,0,0
281378.1702156772,589,4,0,0
281899.51125821564,588,6,0,0
282398.6430866728,587,7,0,0
282901.207272268,587,7,0,0
283405.98779280804,588,5,0,0
283916.69412282575,589,7,0,0
284392.2866104896,591,7,0,0
284901.80818653374,593,6,0,0
285419.7958714341,589,6,0,0
285929.09494262736,584,9,0,0
286441.5318514942,585,8,0,0
286933.22924321913,587,8,0,0
287448.315001898,588,8,0,0
287947.299684309,589,8,0,0
288485.75477523386,584,8,0,0
288982.59913908556,584,8,0,0
289496.8481532919,581,9,0,0
290028.89388648496,583,9,0,0
290499.5437755735,583,10,0,0
291059.6659037514,583,11,0,0
291594.47792307404,582,14,0,0
292064.0833372018,578,15,0,0
292592.35272059677,578,15,0,0
293069.5465264149,580,15,0,0
293566.4551701352,580,17,0,0
294144.139625581,579,18,0,0
294613.1922476178,572,19,0,0
295140.44021886424,576,23,0,0
295650.98227876483,578,21,0,0
296173.6729723611,577,20,0,0
296684.32402787404,574,19,0,1
297175.517150271,573,17,0,0
297689.5236063261,572,18,0,0
298197.1683331005,572,21,0,1
298703.0745807705,564,23,0,0
299209.51775555976,562,24,0,2
299693.3405015851,561,27,0,0
300207.8149177441,560,25,0,0
300712.5903873844,560,30,0,1
301211.2004938395,557,30,0,0
301718.77484995115,555,30,0,0
302245.97760760505,556,30,0,0
302762.52601971396,553,30,0,0
303292.71266709536,549,31,0,0
303782.47025135584,548,31,0,1
304289.0419635588,546,31,0,0
304824.42956341885,548,30,0,0
305349.13683123165,553,31,0,1
305901.92680566787,548,33,0,0
306395.5396339333,546,32,0,0
306911.38721148594,545,32,0,1
307416.3663899805,542,35,0,1
307903.3114917693,541,34,0,0
308417.22449777654,537,38,0,0
308917.772038189,533,37,0,0
309415.77146636613,534,37,0,0
309907.3807533324,530,39,0,0
310459.5137655635,531,35,0,0
310954.06849850947,533,36,0,1
311469.8320593816,533,37,0,2
311943.1730988528,534,36,0,0
312507.4222843452,526,42,0,0
313013.2185555347,523,44,0,0
313513.8632961406,521,44,0,0
314040.1793511813,521,48,0,1
314563.80712316744,518,49,0,0
315072.65637492033,519,49,0,1
315569.43194019404,516,51,0,0
316073.2553007581,513,51,0,0
316568.6488276256,514,56,0,0
317096.68790314015,509,56,0,1
317602.8557469388,510,58,0,0
318111.3916130108,504,61,0,1
318627.12326142314,503,62,0,1
319143.44092078996,503,67,0,0
319652.23839365446,493,70,0,1
320154.6228110401,490,77,0,1
320652.02927873435,488,85,0,2
321158.6542670111,487,84,0,0
321651.745109694,480,88,0,1
322148.8353190997,480,92,0,1
322660.0627569634,475,102,0,0
323162.09103085904,467,104,0,2
323662.460395151,460,110,0,1
324165.0245457339,452,114,0,0
324664.82116544014,445,120,0,1
325167.56928387313,442,126,0,1
325664.7175214351,443,129,0,2
326167.7334023095,442,134,0,3
326659.1597012244,437,140,0,1
327218.2024366654,429,141,0,1
327719.7986510402,421,139,0,1
328219.94720422523,419,147,0,0
328723.3930877923,413,153,0,1
329212.61698970676,410,157,0,1
329732.37979162304,405,161,0,0
330235.7074644075,399,167,0,2
330738.5817996998,388,175,0,4
331237.8329176921,388,178,0,1
331738.52811553585,388,190,0,1
332250.6756473636,382,197,0,2
332751.4129448026,372,203,0,1
333252.79132155684,361,216,0,2
333754.9798799791,358,229,0,2
334256.6522487161,346,235,0,2
334758.0567755621,344,240,0,2
335257.8068333604,333,248,0,1
335758.441297401,324,255,0,1
336257.8788952408,319,260,0,2
336763.85290474887,313,265,0,2
337264.7788795751,301,271,0,0
337764.569164459,297,287,0,1
338267.85078766715,287,291,0,0
338770.13002133154,280,302,0,1
339279.2527403097,268,302,0,1
339780.3005018302,252,313,0,7
340279.3421567749,246,330,0,1
340778.72478732554,236,336,0,1
341279.8342209359,234,348,0,1
341783.3977999016,227,359,0,3
342288.4342601088,220,366,0,1
342791.18843618286,215,371,0,2
343307.77967595204,211,373,0,1
343813.43911679543,198,386,0,2
344313.6668792172,197,397,0,2
344812.9796502778,187,412,0,5
345312.92900174775,175,416,0,2
345815.3634523322,167,419,0,4
346304.2306033186,163,425,0,0
346813.14615893515,155,438,0,2
347318.11946562503,146,447,0,3
347826.2026244029,135,458,0,1
348328.4552797256,128,466,0,2
348828.52618256526,125,470,0,0
349329.20724513335,115,479,0,1
349833.3474304264,113,488,0,1
350331.18255456944,107,498,0,2
350837.1140831061,100,500,0,2
351336.24416855973,94,501,0,1
351840.6890419906,88,510,0,1
352342.48754803743,85,516,0,0
352843.5344994782,78,527,0,1
353340.57172847353,75,526,0,0
353864.9636969887,71,534,0,0
354366.0635562371,65,536,0,0
354870.3221219071,64,545,0,0
355362.64910957316,60,544,0,1
355873.69104354247,57,547,0,0
356372.5096851026,54,553,0,0
356885.57952247956,51,554,0,1
357387.83316640824,47,557,0,0
357888.4365002549,44,561,0,1
358396.64067698596,41,570,0,2
358893.3231535956,39,573,0,0
359405.6941195321,35,565,0,0
359903.68926970527,32,567,0,0
360407.3210042363,29,575,0,0
360914.22286731884,26,572,0,1
361414.23116130277,24,580,0,1
361919.8915547585,25,577,0,0
362423.040080579,22,582,0,1
362923.1690918709,19,588,0,1
363430.3560632417,20,590,0,0
363952.5966098404,16,591,0,0
364458.8040489411,13,595,0,0
364948.03922859044,12,596,0,0
365493.564519426,11,597,0,0
365984.25904480444,10,600,0,0
366495.4882529218,10,599,0,0
367104.7045862202,9,598,0,0
367539.538008672,9,596,0,0
368111.341465155,8,600,0,0
368605.9757542348,8,600,0,0
369138.10866089584,7,603,0,1
369567.0056857291,6,606,0,0
370133.67047877616,6,607,0,0
370643.9979042996,4,606,0,1
371158.96034169046,3,607,0,0
371637.72284729016,3,610,0,0
372166.6293809055,3,608,0,0
372663.8475248363,3,607,0,0
373239.2310484557,3,608,0,0
373741.6818478064,3,611,0,0
374255.1744385415,3,611,0,0
374783.36024616135,3,606,0,0
375299.60802478297,3,610,0,0
375876.11383385956,3,614,0,0
376376.7465646126,3,617,0,0
376896.1064336932,2,612,0,0
377390.5569341256,2,607,0,1
377896.00867389934,2,610,0,0
378384.7520169703,2,611,0,0
378957.951438049,1,612,0,0
379487.80459152395,2,618,0,0
379989.09216828056,1,613,0,1
380441.300443685,1,613,0,0
380989.22966237186,1,613,0,0
381496.67339940765,1,614,0,0
381997.086733954,1,610,0,0
382374.9893063206,1,609,0,0
383025.6841215416,1,609,0,0
383568.2519950478,1,607,0,0
384113.60852566664,1,608,0,0
384633.9417121385,1,608,0,0
385148.48018326133,1,609,0,0
385722.1418530337,1,606,0,0
386222.8507414988,1,608,0,0
386741.5238105817,1,616,0,0
387283.3984697195,1,617,0,0
387786.2162181171,1,616,0,0
388286.0668738301,1,612,0,0
388809.139984654,1,615,0,0
389238.6820915998,1,611,0,0
389856.73567294737,1,610,0,0
390392.19577923836,1,610,0,0
390941.4374375063,1,609,0,0
391436.8537331057,1,609,0,0
391950.9681192161,1,613,0,0
392453.47409346676,1,612,0,0
392933.03227715235,1,610,0,0
393524.417291987,1,609,0,0
394045.2619963958,1,612,0,0
394519.67163791985,1,619,0,0
395050.4835373989,1,617,0,0
395596.67821268894,1,613,0,0
396107.18748228037,1,613,0,0
396599.4056670007,1,616,0,0
397110.7198999109,1,612,0,0
397658.17333487654,1,614,0,0
398171.71681450587,1,611,0,0
398702.41300873604,1,610,0,0
399189.4066367454,1,614,0,0
399761.19423903135,1,614,0,0
400353.5981229092,1,611,0,0
400864.4145914266,1,612,0,0
401375.3713053163,1,612,0,0
401902.40857365186,0,607,0,0
402471.11044576816,0,606,0,0
402945.24465832015,0,606,0,0
403506.5714457597,0,613,0,0
403978.3948091546,0,614,0,0
404446.9389938301,0,610,0,0
405018.59836216515,0,611,0,0
405594.24330948567,0,609,0,0
406047.04017338273,0,609,0,0
406556.65585150826,0,613,0,0
407107.1609428829,0,612,0,0
407607.0654137816,0,613,0,0
408122.5270511741,0,610,0,0
408658.8024998373,0,607,0,0
409181.1644452672,0,606,0,0
409709.12190188817,0,607,0,0
410138.9223497427,0,609,0,0
410695.61552109284,0,607,0,0
411227.02931027085,0,609,0,0
411764.2207415529,0,609,0,0
412265.38214331795,0,610,0,0
412767.7009499767,0,613,0,0
413282.6900627183,0,611,0,0
413803.268183766,0,610,0,0
414262.48837553326,0,612,0,0
414793.33857916517,0,611,0,0
415307.7455808155,0,615,0,0
415820.45458069496,0,617,0,0
416280.9287126624,0,614,0,0
416839.3843484209,0,612,0,0
417349.71122099756,0,617,0,0
417851.4491829828,0,613,0,0
418344.38867542223,0,615,0,0
418858.43312339246,0,614,0,0
419366.35168678436,0,617,0,0
419852.94038961217,0,616,0,0
420324.6140716374,0,617,0,0
420879.62164517166,0,612,0,0
421380.6309423903,0,614,0,0
421872.91863277624,0,612,0,0
422397.38781886065,0,611,0,0
422903.3109435045,0,615,0,0
423443.6191445208,0,614,0,0
423927.15853607893,0,612,0,0
424470.76382833614,0,613,0,0
424994.450246535,0,615,0,0
425443.4896442973,0,614,0,0
425995.8779088906,0,618,0,0
426453.67553493043,0,615,0,0
427026.45811049227,0,611,0,0
427518.70171751245,0,611,0,0
428033.6511657079,0,608,0,0
428554.2702766285,0,613,0,0
429045.4888182928,0,615,0,0
429563.520774266,0,615,0,0
430009.88666647766,0,616,0,0
430613.7614173345,0,615,0,0
431103.48823281453,0,613,0,0
431705.76319327875,0,615,0,0
432369.36560691387,0,612,0,0
432855.01921672415,0,611,0,0
433389.9103999813,0,615,0,0
433902.6129614746,0,619,0,0
434390.3837999246,0,619,0,0
434963.478104129,0,617,0,0
435469.08117914054,0,613,0,0
435974.3791691291,0,610,0,0
436399.503621872,0,608,0,0
436921.12791159813,0,611,0,0
