Time,sum([sp_0]),sum([sp_1]),sum([sp29]),sum([sp28]),BJ2x2_7
51703.982456507496,4,19,81,81,0
52656.15698119951,4,19,81,81,0
52855.58752374052,4,19,81,81,0
53442.93352793537,4,18,82,82,1
53544.08871049619,4,18,82,82,0
53571.511264505534,4,18,82,82,0
53978.69557889808,4,18,82,82,0
54096.34489673852,5,18,82,82,0
54246.33837973969,5,18,82,82,0
54571.55076675704,5,18,82,82,0
54962.54125664854,6,18,82,82,0
55618.49389520207,5,17,82,82,0
55700.596151603866,4,17,82,82,0
55846.0795111462,4,17,83,83,1
55889.8228869067,4,17,83,83,0
56041.91672950655,5,17,83,83,0
56882.65328721305,4,17,83,83,0
57488.846084219476,5,16,84,84,1
57608.85903884705,5,16,84,84,0
57636.84677192824,5,16,84,84,0
57999.31965579454,4,16,84,84,0
58519.468170436376,4,16,84,84,0
58685.16187923785,4,16,84,84,0
58819.88261645659,5,16,84,84,0
58952.02199570409,4,16,84,84,0
59343.48121617602,4,16,84,84,0
60497.31080664318,3,16,84,84,0
60884.16551135036,2,16,84,84,0
61141.996837729406,3,16,84,84,0
61514.89963804247,3,16,84,84,0
61680.479356968775,3,16,84,84,0
61846.10620087225,3,16,84,84,0
61975.825454462894,4,16,84,84,0
62774.83476595984,5,16,84,84,0
63103.89390479772,5,15,85,85,1
63182.2813369347,5,15,85,85,0
63313.52241471519,4,15,85,85,0
63730.383012753206,4,15,85,85,0
64155.93912793888,3,15,85,85,0
64358.09602237034,3,15,85,85,0
65117.233044317625,3,15,85,85,0
65300.73532473684,3,14,86,86,0
65611.99961967324,3,14,86,86,0
65878.24601837037,3,14,86,86,0
67279.75079280857,3,14,86,86,0
68341.30787638688,3,14,86,86,0
68944.8663155609,2,14,86,86,0
69026.0782916068,3,14,86,86,0
69064.09385771549,3,14,86,86,0
69211.87543665199,3,14,86,86,0
69430.28525735169,3,14,86,86,0
70008.22787786397,2,14,86,86,0
72602.38582530191,2,14,86,86,0
74066.77645337697,2,14,86,86,0
74748.18016310835,2,14,86,86,0
75070.87797650645,2,14,86,86,0
75323.1042269818,2,14,86,86,0
75880.95132127033,2,13,87,87,1
75939.88324754451,2,13,87,87,0
76191.36294663856,2,12,88,88,0
76336.31602141375,2,12,88,88,0
76439.53923558388,2,12,88,88,0
76528.92956838284,2,12,88,88,0
76645.97733220842,1,12,88,88,0
77171.60527206157,1,12,88,88,0
77996.85052569532,1,12,88,88,0
78520.78917971827,1,12,88,88,0
78792.83639687415,1,11,89,89,0
78863.74171198705,1,11,89,89,0
79220.21909686303,1,10,90,90,1
79367.28519007133,1,10,90,90,0
79421.48949292995,1,10,90,90,0
79476.01275728927,1,10,90,90,0
83482.17367255568,1,10,90,90,0
83640.09331115954,1,10,90,90,0
84076.75331122898,0,10,90,90,0
84780.29174930586,1,10,90,90,0
84979.46082036631,1,10,90,90,0
85153.40290304837,1,10,90,90,0
89071.98825365091,1,10,90,90,0
89253.04118611821,2,10,90,90,0
89598.93524640427,2,9,90,90,0
89748.43133153506,2,9,91,91,0
90455.75376182808,1,9,91,91,0
91623.00482736567,1,8,92,92,0
91645.61180581784,1,8,92,92,0
91742.93139048103,1,8,92,92,0
94199.63028892897,1,8,92,92,0
96473.29723008825,1,8,92,92,0
99999.99996473297,1,8,92,92,0
