Time,sum([sp99]),sum([sp87]),sum([sp63])
141254.026461801,99,110,516
141752.55390399817,101,113,519
142252.73656549805,101,112,522
142763.236911381,98,112,523
143275.01679317493,94,120,527
143774.43142737277,99,117,532
144273.73193664424,102,116,538
144778.00576112006,110,110,545
145284.46655847123,113,110,548
145785.86596371952,120,111,551
146287.4374997594,121,110,553
146788.99976294587,120,109,553
147288.86549492864,117,111,560
147790.70981616006,117,110,565
148289.826041807,113,115,566
148783.3626767117,112,116,567
149292.19872737554,113,121,568
149790.5424949151,104,125,564
150294.07565596246,106,122,573
150795.35979828893,110,116,580
151300.45674264568,112,118,584
151800.75819369254,116,114,583
152287.6592679209,118,116,582
152803.06531226527,120,114,584
153305.10743060164,123,117,587
153805.47637805605,122,117,589
154304.8255139111,119,124,588
154804.57302564714,123,125,590
155306.15163900293,121,127,596
155806.7094362623,119,126,597
156306.9248711185,120,131,596
156807.9499031162,114,130,603
157308.53243979826,114,135,609
157807.46198999253,114,133,617
158306.91672483858,109,135,620
158809.73263930337,111,137,621
159315.79451352704,113,135,626
159814.04091551577,119,133,628
160317.40495015928,122,129,635
160818.37678738084,119,134,640
161318.52723610966,123,133,646
161819.08226401618,122,135,647
162319.3062430028,122,142,650
162821.16606614855,119,139,656
163318.79627290834,117,135,660
163822.19935073034,116,137,663
164322.62061518704,116,136,671
164824.48587959365,118,141,670
165323.03271878822,118,142,671
165835.12322159452,120,146,672
166334.65207026488,121,151,673
166838.49305572186,118,151,676
167336.62946533508,122,152,678
167839.7287715973,124,152,679
168340.41811565077,124,154,681
168842.30069987194,126,155,684
169343.51444147775,122,157,686
169843.12072893223,121,154,692
170343.13529853526,117,156,698
170845.2534106144,121,158,701
171354.135210709,120,159,706
171853.80431298248,118,159,709
172354.36754590497,118,159,712
172855.20257000937,118,163,715
173352.7825384999,119,159,718
173856.76077303133,124,155,720
174358.3967892485,131,154,725
174858.6975886566,135,155,725
175360.6469755181,133,155,732
175858.03252173605,135,159,732
176366.09352823708,134,160,738
176866.78310189355,134,166,740
177370.6982947822,131,163,743
177870.97051350196,132,160,745
178371.0045012837,135,157,748
178871.56769333564,136,161,749
179378.6183295158,140,159,752
179879.1351921692,139,160,753
180378.94297029244,133,159,763
180880.80213103845,133,162,767
181381.2958099078,130,168,768
181881.9496319705,126,174,767
182374.81071046565,131,176,769
182887.34899441115,139,175,771
183383.96388133732,140,179,774
183885.63419956257,140,181,772
184389.52034816128,147,179,775
184890.37232984175,148,179,774
185390.76796503633,148,184,776
185892.00272078876,154,180,780
186392.88062458747,157,179,781
186893.07182325746,152,177,780
187396.72170219664,156,180,780
187894.60334320104,159,179,782
188399.25872278117,161,176,786
188892.62327528934,157,183,785
189395.48280961034,153,190,784
189898.1667993101,154,190,791
190400.4711634731,153,193,794
190901.51169009914,154,195,793
191396.12358803395,161,199,795
191907.36699165375,165,200,797
192408.97712007596,159,207,800
192909.09248932614,158,207,803
193408.57079154553,153,209,804
193909.08827085886,154,214,804
194410.46636017624,158,215,807
194911.3069656589,158,219,808
195410.33809674246,156,219,809
195916.6653800012,157,218,814
196415.591323011,159,217,815
196920.37183459208,165,218,815
197419.5505568162,163,222,817
197918.9852887627,159,222,818
198419.5985295371,158,233,817
198920.16216680035,156,233,817
199421.70298490766,156,233,818
199922.1340577546,158,237,820
200423.57773386643,159,239,824
200923.56380394977,157,243,828
201423.73171073134,155,246,829
201924.10963787805,153,252,832
202424.34545902567,160,250,830
202925.31633252022,161,256,830
203426.03273690303,163,258,834
203927.70336746116,159,260,835
204432.33195839982,155,265,836
204931.42722996345,155,267,841
205433.07881829204,153,265,844
205933.97618673433,148,267,850
206435.1826114925,152,267,849
206936.7098993078,152,266,849
207434.41882881807,151,275,847
207936.9929693994,156,275,850
208438.45407822166,164,272,851
208938.672421818,162,275,851
209439.32701432102,161,277,853
209939.35948848358,163,273,855
210437.45508210527,163,276,854
210934.29310020097,167,278,855
211442.3345497036,161,286,853
211942.82920768665,164,285,854
212443.64153371242,164,288,857
212944.45279477752,163,286,862
213445.06401162926,162,288,861
213945.35739450913,161,294,860
214445.7755541104,165,299,858
214945.61681745606,163,303,862
215439.81169631332,169,298,867
215947.9039850138,168,304,869
216449.67064146933,169,305,871
216949.0013405941,172,306,875
217447.29654548588,175,308,879
217949.56032560082,176,303,885
218450.23319402288,178,308,885
218951.16394320456,182,317,886
219451.98448796308,181,318,888
219951.5647271552,181,318,892
220435.74064870516,182,325,889
220952.70013645326,180,335,888
221454.3240191903,174,341,890
221953.1383545275,174,349,892
222454.63523901836,179,355,889
222954.5572066786,177,361,887
223455.0784664687,171,365,887
223957.37273325617,176,366,894
224461.0320526579,176,371,894
224962.10420894853,177,373,892
225465.9025630468,181,379,895
225965.43857676376,184,376,902
226465.96225501414,186,378,905
226969.4002013001,186,380,906
227472.14556672954,187,385,908
227972.63580222413,186,389,910
228472.60906151315,194,387,913
228973.0044298861,190,394,911
229473.85425863738,190,402,905
229971.99843055898,188,404,903
230473.18908060846,187,405,904
230969.04091105005,182,412,905
231475.11331430697,190,411,904
231976.44279189722,190,415,905
232477.9880820728,185,419,905
232976.54940308575,194,421,902
233479.52908098535,191,429,904
233980.28804807572,191,432,898
234478.27107643438,191,433,901
234982.8122705338,196,439,901
235480.8026195198,191,444,902
235991.05101720567,193,447,907
236494.26996805918,201,449,904
236997.04501448106,200,453,910
237497.09243132407,209,456,910
237998.30017545045,212,458,915
238499.8263103114,218,464,913
238995.35969438832,213,466,914
239499.7974962244,206,477,916
239998.21719999018,208,486,913
240500.89848008697,211,487,912
241005.6304218911,209,490,916
241506.64337469474,205,502,911
242008.36855393546,202,503,914
242508.89988018968,208,508,917
243009.81449997792,205,509,914
243509.7826312076,205,513,914
244001.54447529136,208,520,913
244509.92836373838,212,523,918
245013.992264321,207,525,917
245513.05404770846,208,532,914
246015.37105124837,210,537,918
246515.766436855,210,538,916
247015.77334010004,214,541,914
247515.69037035157,219,546,912
248016.2831433542,219,550,909
248514.4019331425,222,552,913
249016.6852578914,216,553,912
249516.45653665435,222,557,911
250016.90237485632,225,559,912
250517.621854439,221,564,913
251018.55202729703,220,573,909
251516.69833993824,221,579,908
252020.5752168337,219,581,909
252512.7099133305,218,589,907
253018.79284082045,219,593,909
253522.4349534923,218,594,913
254026.04669760357,225,601,914
254528.12700581015,219,604,911
255026.78834229056,218,612,910
255529.95300834908,215,618,912
256025.0157038887,210,620,907
256534.07689964795,209,623,905
257033.79020613575,209,623,908
257546.42112729288,209,628,910
258048.18137367448,210,629,912
258550.05508626168,211,631,912
259051.54141172545,212,634,911
259553.59821214233,215,639,913
260054.9696073975,218,649,912
260555.062744314,222,646,917
261054.93712868675,226,646,920
261560.58492341518,228,654,918
262061.66964672532,227,659,916
262564.1096236738,227,672,911
263065.3948445229,222,674,911
263565.0912317709,227,679,911
264066.1916450491,236,678,907
264567.48298131395,236,678,906
265068.28341073,236,688,906
265568.86353713425,239,693,907
266065.13494103035,235,695,908
266570.05825124175,232,694,916
267069.9070670284,233,695,917
267571.4539419063,239,700,916
268078.0486103265,240,698,916
268576.2195326909,239,702,916
269078.95769744756,245,704,915
269582.9381325302,249,710,917
270077.2479437734,250,712,920
270583.58850049815,250,718,914
271086.90794209664,258,719,914
271586.40700270364,258,725,916
272086.85410263244,254,725,920
272587.5490930834,260,728,919
273091.60340724903,264,732,917
273591.7529051012,262,739,915
274092.4954997813,258,738,915
274594.37732190196,266,739,918
275104.60429057246,265,739,915
275608.1769881811,266,740,913
276111.5608787105,270,745,912
276613.38683367096,270,749,910
277105.6412222945,268,749,910
277615.5121375697,265,744,917
278116.42418565426,267,750,914
278616.4090881976,271,754,915
279116.9391185888,272,754,914
279615.7026361449,278,756,916
280117.1043649603,277,762,915
280615.9877315356,277,765,914
281118.07279489806,277,772,911
281617.45489234186,279,771,914
282117.8244740536,275,774,910
282622.96358650253,275,778,914
283118.3637430624,283,785,913
283623.2685310099,284,782,913
284122.15088283067,285,782,916
284625.4390543004,283,788,915
285125.39579601015,284,791,914
285624.64925194037,289,792,913
286126.20557692426,286,793,917
286627.86652922793,288,791,919
287128.23553586466,290,797,920
287628.599043913,287,802,921
288132.2003112051,283,811,920
288626.4134851362,284,813,922
289136.11041146173,287,821,923
289636.13166572957,286,821,919
290137.2048190124,289,822,922
290638.09666461014,286,825,926
291139.24764900625,287,826,926
291638.32751212997,285,826,928
292137.58235978644,280,831,925
292642.7628561399,282,833,923
293144.1363180835,284,838,921
293646.6633886411,284,838,922
294146.0031418825,287,839,916
294654.1705877557,293,834,925
295154.46031283087,298,838,924
295655.3405401959,299,837,924
296159.2805915973,300,842,923
296662.1854203661,306,840,923
297163.95042879053,302,839,920
297663.9956885943,306,840,920
298164.2442006932,307,842,924
298664.9689370316,310,842,926
299164.97104472393,307,848,922
299661.5409868038,310,846,923
300166.1361459009,306,854,924
300668.80640159536,311,852,924
301169.7946524257,315,854,926
301664.893022544,318,851,925
302170.1145374565,320,851,924
302670.6593678139,322,854,922
303170.41015497607,322,855,922
303672.5502492326,321,856,924
304175.232745049,317,857,924
304676.48521853425,317,856,928
305175.1933276381,318,854,928
305680.4852066115,326,858,926
306178.6006486205,327,857,929
306682.0940690569,323,859,926
307183.58303740545,330,857,930
307682.8266667629,327,855,930
308184.73031221976,329,862,927
308684.6729845416,329,863,926
309185.6948233044,326,864,927
309686.14879395865,332,864,925
310186.3161421047,339,863,926
310686.93867908197,338,869,925
311181.9730042427,336,873,920
311689.5114869094,339,874,918
312190.012873794,336,872,919
312691.68861125375,337,868,920
313192.5105926729,342,870,920
313693.21624437533,338,876,921
314194.66630988376,339,878,918
314697.7104056921,342,877,916
315201.15048216993,349,879,919
315703.09179514635,349,880,918
316202.9071886195,349,879,919
316705.0284718749,350,881,920
317205.8840551315,350,877,923
317703.15556840994,357,880,925
318205.4452188906,358,882,921
318710.40829473693,355,882,919
319211.2241472216,351,891,917
319711.50810896646,347,890,916
320215.99446941377,349,893,915
320717.5379375377,354,893,913
321213.20767214923,352,887,913
321717.72286031774,350,890,914
322218.2692895941,352,883,919
322718.4319657882,353,888,919
323218.3103983417,353,886,921
323719.2190537612,360,886,923
324218.94646900817,361,887,922
324721.6455543691,361,883,924
325225.66240791464,361,886,923
325727.4811369357,359,889,916
326207.2881824278,357,889,916
326743.571928966,362,893,914
327261.13136554003,367,888,919
327768.7418705594,371,889,920
328269.48291567276,364,892,918
328765.45866646286,365,895,915
329273.7687694741,368,894,917
329773.8553067445,370,894,919
330275.8645243983,371,885,926
330777.5647655247,370,884,925
331280.9494013359,372,885,927
331780.2252487087,376,887,922
332283.04891535937,374,888,924
332782.29688237206,377,885,925
333283.0300911187,383,885,925
333784.22029200685,388,882,929
334285.0937628875,389,883,926
334783.3709234818,397,884,925
335286.9201918611,402,883,930
335791.4284545276,402,885,930
336286.7723575615,400,889,928
336791.7129886254,394,891,927
337294.5313604426,394,892,927
337794.9669704213,391,893,928
338287.6415758575,392,891,926
338796.2791427423,394,894,927
339299.72977144487,395,895,926
339799.95582867914,394,901,922
340302.22802758595,400,898,921
340805.9339391688,400,900,918
341306.7979091809,398,900,918
341804.20105094666,398,903,919
342310.1387098251,402,903,918
342811.9505553488,400,901,918
343313.21186287625,405,897,922
343816.79925737326,402,894,920
344324.2175914554,401,896,916
344823.02464022936,398,895,919
345326.5381532604,396,893,919
345832.547132153,397,891,923
346333.2858863764,397,889,926
346832.87829683756,401,885,930
347333.91134187765,402,886,931
347841.2981480876,408,882,936
348341.5047769815,408,881,939
348844.1011405149,410,879,942
349343.8531024079,414,880,944
349842.8477379481,411,881,946
350350.3062187856,409,886,942
350854.13363148394,410,882,946
351348.39588307595,414,882,943
351866.0823668514,409,886,944
352370.6954236347,414,887,946
352870.63202588743,416,888,942
353372.2121192984,414,891,942
353874.84242495394,418,894,937
354376.57840983506,426,893,936
354877.5106310992,429,892,940
355376.6779619096,433,888,939
355875.26864080597,438,891,938
356379.2203119199,434,898,934
356871.12433569215,436,900,931
357380.0814959122,433,903,927
357883.16165664245,435,901,932
358383.634247038,437,900,932
358885.25100274006,435,899,932
359385.24832610646,442,898,932
359895.56352691434,439,901,932
360396.09203876636,443,897,932
360896.4273720793,447,901,931
361392.5234494235,445,901,927
361898.6043081056,449,897,931
362399.3611221809,446,898,929
362900.0073368731,447,898,928
363398.7639094937,445,895,933
363900.4805294684,447,894,935
364403.0635618105,447,892,940
364903.8102366309,448,892,941
365403.4405914996,448,893,939
365907.05782922055,450,892,939
366407.2441386796,449,893,941
366911.33115545457,444,899,939
367408.50937251543,444,901,933
367909.586384791,452,901,928
368429.852073487,449,907,930
368929.3096902948,449,907,928
369431.0646563564,452,900,933
369929.73610068153,452,900,935
370419.7311476305,458,900,933
370937.1725039269,462,898,934
371435.3558661038,459,900,932
371941.499889839,457,904,927
372440.3258748668,458,902,926
372940.7616378145,462,900,927
373442.69022688584,463,899,926
373936.03388742905,469,895,926
374444.9125590514,465,892,933
374943.56042262656,467,894,933
375447.34990313597,465,900,930
375948.5808326614,467,900,928
376449.54948678415,470,898,928
376948.2143541126,470,901,925
377450.5717593119,474,902,922
377948.74491349113,473,902,921
378457.49601939437,473,905,920
378957.65243267646,469,900,923
379457.42326709576,469,905,923
379955.45971159433,470,905,921
380463.1760869703,474,907,920
380960.8491411381,473,908,919
381463.0446204333,471,909,922
381964.28651602723,473,908,924
382468.2477041643,471,907,926
382969.15415277897,478,905,928
383470.8545235024,479,908,922
383974.9478511146,479,912,921
384475.10493650445,482,912,919
384972.81192905206,480,914,921
385477.79707714415,485,914,918
385983.63923484215,489,916,916
386484.0905686111,489,918,916
386983.44979852077,485,916,916
387485.41019623604,489,912,918
387988.59117953223,491,912,922
388484.6941465254,496,911,922
388988.6197849965,497,912,922
389489.56522798695,496,911,924
389990.33257845335,495,913,924
390494.02691830316,495,911,927
390996.70512724866,492,914,925
391488.6993500024,495,913,924
392004.15251839225,501,911,924
392505.1341163154,499,906,924
393001.4554923276,501,907,922
393505.520053776,504,907,920
394008.73489971214,504,913,920
394508.3107716207,501,909,920
395008.92293480213,499,910,919
395506.9155558589,506,910,919
396015.8261764036,502,913,922
396518.3154364227,504,913,919
397020.7133672281,506,909,921
397522.0943857072,509,911,920
398021.59128284676,506,910,920
398522.24876037583,508,910,920
399026.8755613476,506,910,925
399527.0729299524,508,907,927
400040.3536328111,508,906,927
400544.5178942454,508,905,931
401043.3579278376,511,901,930
401545.5824164471,512,902,932
402045.4671307966,509,902,933
402545.38303658494,514,902,933
403047.0405729193,513,904,936
403546.9345277775,509,907,936
404045.25731605734,509,905,939
404548.3733027915,510,906,937
405039.8428871206,510,906,932
405548.62321459025,510,912,927
406051.9630090102,506,915,923
406557.03551338584,505,915,923
407062.9957206136,505,915,923
407559.5834276502,507,914,922
408062.31241095596,505,913,924
408565.2442091132,509,915,923
409065.70467664243,505,918,924
409566.1229819607,507,918,921
410068.5053455148,509,915,926
410569.19569608447,504,917,923
411067.57467275544,502,918,924
411572.6747457685,500,918,921
412070.8205689117,499,921,925
412574.91434622597,506,922,923
413075.02356291126,506,919,927
413576.8355565158,515,912,932
414075.2555279465,517,911,930
414577.1032847667,515,911,931
415078.46105662116,510,914,929
415567.87567355536,513,919,926
416080.31521239155,511,917,928
416582.055762292,511,915,929
417082.9439345702,512,916,928
417584.51924236346,513,917,928
418084.4419203276,513,915,929
418584.27317163383,516,914,932
419085.72140324407,523,913,930
419578.46155549516,522,913,931
420090.7492471822,523,914,929
420592.0562197771,529,911,930
421094.7905564541,532,914,930
421594.4198033526,533,911,933
422095.9573100017,531,914,932
422593.6581779299,533,912,928
423102.85660183686,538,913,927
423607.4691372297,535,918,926
424113.8154582171,538,917,925
424612.8113335352,542,912,927
425113.8684541266,539,912,926
425616.77063392475,546,911,930
426112.1520042471,544,911,930
426621.8211912536,542,912,934
427121.78730651777,543,909,935
427619.8114638827,543,910,933
428125.69982708886,546,911,932
428627.22640936583,548,914,932
429130.7106698706,542,914,930
429629.92387876584,539,920,930
430130.6251772995,542,920,924
430626.503485567,541,919,924
431134.1539691197,544,918,925
431632.07586393337,544,920,923
432142.9593046649,544,920,921
432643.89478228975,546,914,927
433142.45700686745,546,918,924
433645.51746032987,547,917,925
434145.0825846835,550,914,925
434644.4156994575,552,911,925
435145.96821100207,556,911,922
435647.4603151193,558,910,923
436144.74713307235,558,907,922
436651.34679767385,560,907,921
437155.0334032533,561,905,924
437655.59242020414,559,905,927
438156.47395836905,556,910,925
438655.4686710078,556,907,930
439156.8302517605,557,904,932
439660.2401302587,555,907,931
440162.0038092272,559,905,925
440668.2521174703,564,903,924
441165.0102469825,558,903,927
441675.30486889364,559,906,926
442175.278485892,554,905,929
442677.3326186574,552,907,929
443177.2852996018,556,905,927
443678.13400850125,554,909,925
444179.13098065445,550,912,922
444679.01606230467,551,909,922
445180.8385401082,555,907,923
445681.29633404367,556,906,922
446181.90398975875,554,909,921
446684.2705943785,555,908,920
447185.27733081003,553,914,919
447686.03189594205,551,910,922
448184.877187185,559,905,921
448690.4176052718,562,905,922
449190.92444395286,562,906,921
449691.65107009833,565,907,917
450195.71139227395,566,910,918
450697.0218371489,565,904,920
451198.3887721448,562,910,917
451698.70520015946,562,912,920
452199.6728973397,557,914,923
452699.76314986,557,917,923
453198.2297003043,556,919,926
453701.10686316685,557,918,925
454199.8681125895,566,913,925
454703.0198530246,565,918,926
455198.11674791237,566,917,927
455708.32596985827,563,920,923
456210.9920148005,565,920,921
456711.99913344433,564,924,923
457197.5677603432,564,921,925
457721.6129140328,567,921,922
458230.970287049,566,920,922
458732.3075764798,569,919,923
459231.37544957997,571,915,922
459733.798940206,571,916,922
460233.09635555884,570,919,917
460727.45645264495,572,918,917
461223.4319677495,574,918,918
461742.55039034743,574,916,918
462246.91899093974,579,919,916
462747.8747576721,575,915,915
463247.76183778036,574,911,920
463749.87734067324,576,910,920
464250.9718201764,578,910,921
464750.6609750918,580,913,921
465238.4432163747,581,910,919
465752.2815460761,585,906,921
466258.23729379626,585,903,921
466758.00512193184,584,905,919
467257.74996852066,581,902,922
467758.3512321868,583,900,921
468260.20657420374,586,901,924
468761.58025910903,587,898,925
469264.35324344976,586,898,922
469763.94593163254,583,902,922
470262.2998092197,583,906,924
470765.49695122964,583,906,921
471267.01336230314,581,911,916
471770.01131172956,585,910,918
472270.52733977226,583,910,920
472771.8662616755,583,912,924
473271.4027775794,587,908,922
473775.2131855733,590,907,920
474275.85960435105,591,914,915
474777.7974624638,590,916,916
475278.6761582089,595,914,919
475777.22738522745,598,910,917
476281.33608427225,598,910,919
476781.1190438956,601,903,918
477281.3957721759,602,903,918
477786.43762527395,604,905,915
478283.78170502797,606,905,918
478788.02698904625,607,905,915
479293.56760446186,602,907,922
479793.9465790234,597,911,921
480296.5125998316,596,917,920
480797.56285681133,593,917,916
481296.843698408,596,920,915
481798.02139122615,600,918,917
482303.7323050867,605,917,913
482805.0641973449,602,918,911
483305.16813818435,604,917,912
483805.9586337134,606,917,918
484306.18375602673,608,915,917
484806.54169118125,609,907,926
485307.99752213096,611,906,924
485807.1430511738,609,907,926
486308.27204559575,612,907,925
486808.5916379262,612,905,926
487311.6882532445,607,908,926
487821.56995984487,609,912,926
488322.5998908739,608,915,927
488822.75361873396,608,913,927
489322.8549762458,605,913,929
489814.7087730424,604,908,934
490320.2740438495,606,902,938
490827.64996276464,611,900,937
491328.5218118959,611,905,933
491827.52789417753,610,902,933
492327.38640887133,612,905,931
492828.473707517,614,906,928
493331.495576842,618,905,928
493831.27067049046,613,906,927
494334.03919675684,615,906,931
494835.9127451729,621,905,930
495334.45008160686,617,908,929
495836.2367494949,617,909,929
496337.0977148278,619,911,925
496839.3443527857,622,914,923
497338.1976388276,622,915,921
497842.3375906246,622,916,920
498341.7485998147,621,916,921
498845.0660757965,628,917,919
499347.26237100974,629,917,918
499848.0537783206,627,917,918
499997.3469628493,629,917,918
499999.9999999735,629,917,918
